ID,Name,Purpose,Status,Completion%,Confidence,Dependencies,Blockers,Missing Integrations,Duplication,User Reachability,Activation Path,Verification State,Evidence IDs
MC-UI-001,ForgeLayout,Main dashboard layout,Integrated,70,High,MC-UI-002/003/011/013,None,Screen capture stream cleanup,None,Direct - mounted by App.tsx,App.tsx renders ForgeLayout,PARTIAL,E-A1
MC-UI-002,TheForge,Forge/suggestion display,Integrated,65,High,MC-AI-001/003,Duplicate forge logic in TuningDeck,Consistent forge trigger handling,MC-UI-003 duplicate handleForge,Direct - ForgeLayout child,ForgeLayout mount,PARTIAL,E-B1
MC-UI-003,TuningDeck,Control deck + forge trigger,Integrated,65,High,MC-AI-001,Duplicate handleForge; pre-records analytics before send,Unify forge path,MC-UI-002 duplicate handleForge,Direct - ForgeLayout child,ForgeLayout mount,PARTIAL,E-B1
MC-UI-004,VariantCard,Suggestion card with refine/send,Integrated,70,High,MC-AI-003/007,None,None,None,Direct - TheForge child,TheForge render,PARTIAL,E-B2
MC-UI-005,MemoryPanel,Memory management UI,Integrated,55,Medium,MC-MEM-001/003,None,None,None,Direct - App.tsx,H key or command palette,PARTIAL,E-B3
MC-UI-006,AutoForgeHUD,Decision HUD,Integrated,60,Medium,MC-AI-005,1s polling timer,None,None,Direct - App.tsx,H key,PARTIAL,E-B4
MC-UI-007,AutoForgeReport,Event report panel,Integrated,55,Medium,MC-AI-009,Briefing gen may be unused,None,None,Direct - App.tsx,Command palette,PARTIAL,E-B4
MC-UI-008,AnalyticsPanel,Session analytics,Integrated,55,Medium,MC-INFRA-001,1s polling; inflated stats,None,None,Direct - App.tsx,D key,PARTIAL,E-B4
MC-UI-009,ActionTimeline,Action history timeline,Integrated,50,Medium,MC-INFRA-001,None,None,None,Direct - ForgeLayout child,ForgeLayout mount,NOT_RUN,E-A1
MC-UI-010,StatusBar,Connection/stats bar,Integrated,65,High,MC-CHAT-001/003/005,None,None,None,Direct - App.tsx,Always visible,PARTIAL,E-A1
MC-UI-011,StreamEmbed,Twitch stream iframe,Integrated,50,Medium,None,None,None,None,Direct - ForgeLayout child,ForgeLayout mount,NOT_RUN,E-A1
MC-UI-012,StreamOverlay,Stream overlay,Integrated,45,Low,None,Crop rect not updated on resize,None,None,Direct - ForgeLayout child,ForgeLayout mount,NOT_RUN,E-B5
MC-UI-013,EmoteText,Emote image rendering,Integrated,60,High,MC-CHAT-012,None,None,None,Direct - chat rendering,Chat message display,PARTIAL,E-C1
MC-UI-014,SettingsPanel,Full settings modal,Integrated,60,High,MC-AUTH-005/006,None,None,None,Direct - TuningDeck,Settings button,PARTIAL,E-C2
MC-UI-015,CommandPalette,Ctrl+K palette,Integrated,65,High,MC-INFRA-001,None,None,None,Direct - App.tsx,Ctrl+K,PARTIAL,E-A2
MC-UI-016,WelcomeOverlay,Welcome screen,Integrated,50,Medium,None,None,None,None,Direct - App.tsx,First load,PARTIAL,E-A2
MC-UI-017,TutorialWalkthrough,Onboarding,Integrated,55,Medium,None,None,None,None,Direct - App.tsx,Tutorial command,NOT_RUN,E-A2
MC-UI-018,ShortcutHelp,Shortcut help,Integrated,50,High,None,None,None,None,Direct - App.tsx,? key,NOT_RUN,E-A2
MC-UI-019,AnimatedBackground,Default background,Integrated,50,High,None,None,None,None,Direct - App.tsx,Default theme,NOT_RUN,E-A2
MC-UI-020,CosmoTechBackground,CosmoTech theme,Integrated,50,High,None,None,None,None,Direct - App.tsx,T key,NOT_RUN,E-A2
MC-UI-021,EasterEggs,Easter eggs,Integrated,50,Medium,None,None,None,None,Direct - App.tsx,Konami code,NOT_RUN,E-A2
MC-UI-022,RageCursor,Rage cursor,Integrated,45,Low,None,None,None,None,Direct - App.tsx,Easter egg trigger,NOT_RUN,E-A2
MC-UI-023,FidgetSpinner,Fidget spinner,Integrated,45,Low,None,None,None,None,Direct - ForgeLayout child,ForgeLayout mount,NOT_RUN,E-A1
MC-UI-024,ErrorBoundary,Error boundary,Integrated,50,High,None,None,None,None,Direct - main.tsx,Always active,PARTIAL,E-A3
MC-UI-025,shadcn Primitives,UI primitives,Integrated,80,High,None,None,None,None,Indirect - all components,Component render,PASS,E-A4
MC-AI-001,Forge Engine (Client),Generate chat variants,Integrated,55,High,MC-AUTH-005/012,No output validation; dangerouslyAllowBrowser,Schema validation,MC-AI-002 duplicate,Direct - TuningDeck/TheForge,F key or forge-trigger,FAIL,E-B1
MC-AI-002,Forge Engine (Server),Server-side forge,Partial,45,High,MC-AUTH-006,Not wired to client; orphan route,Client integration,MC-AI-001 duplicate,Indirect - /api/generate-chat,HTTP POST,NOT_RUN,E-C3
MC-AI-003,Variant Refinement (Client),Refine suggestion,Integrated,50,High,MC-AUTH-005,No output validation,None,MC-AI-004 duplicate,Direct - VariantCard,Refine button,FAIL,E-B2
MC-AI-004,Variant Refinement (Server),Server-side refine,Partial,45,High,MC-AUTH-006,Not wired to client,Client integration,MC-AI-003 duplicate,Indirect - /api/refine-suggestion,HTTP POST,NOT_RUN,E-C3
MC-AI-005,AutoForge Decision Engine,AI decision engine,Integrated,55,High,MC-AUTH-005/012,No output validation; bookkeeping before send,Schema validation + await send,MC-AI-006 duplicate,Direct - useAutoForge,15s interval,FAIL,E-B6
MC-AI-006,AutoForge Decision (Server),Server-side decision,Partial,45,High,MC-AUTH-006,Not wired to client,Client integration,MC-AI-005 duplicate,Indirect - /api/autoforge-decide,HTTP POST,NOT_RUN,E-C3
MC-AI-007,Vision Context Generator,Screenshot description,Integrated,50,Medium,MC-AUTH-005,None,None,MC-AI-008 duplicate,Direct - ForgeLayout,Capture trigger,PARTIAL,E-B5
MC-AI-008,Vision Context (Server),Server-side vision,Partial,45,Medium,MC-AUTH-006,Not wired to client,Client integration,MC-AI-007 duplicate,Indirect - /api/vision,HTTP POST,NOT_RUN,E-C3
MC-AI-009,AutoForge Briefing,After-action report,Partial,35,Low,MC-AUTH-005,Possibly dead export,Verify import,None,Indirect - AutoForgeReport,Report open,NOT_RUN,E-B4
MC-AI-010,Prompt Constants (Client),System prompts,Integrated,60,High,None,Duplicated in server,Single source of truth,MC-AI-011 duplicate,N/A,N/A,PASS,E-A5
MC-AI-011,Prompt Constants (Server),Duplicated prompts,Partial,55,High,None,Drift risk,Single source of truth,MC-AI-010 duplicate,N/A,N/A,PASS,E-C4
MC-AI-012,Provider Fallback,Health/cooldown/fallback,Integrated,55,High,MC-AUTH-005,In-memory only; reset on reload,Persist health,None,Indirect - ai.ts,AI call failure,PARTIAL,E-B6
MC-AI-013,Smart Replies,Mention reply suggestions,Partial,40,Low,MC-AI-001,Silent failure on errors,None,None,Indirect - useAutoForge,Mention detected,NOT_RUN,E-B6
